Compound Id,Final Compound Concentration, LmPTR1 [µM],Avg % Inhibition (slope), LmPTR1,STD % Inhibition (slope), LmPTR1,Flag for Interference, LmPTR1,Final Compound Concentration, TbPTR1 [µM],Avg % Inhibition (slope), TbPTR1,STD % Inhibition (slope), TbPTR1,Flag for Interference, TbPTR1,Final Compound Concentration, hERG [µM],Avg % Inhibition, hERG,STD % Inhibition , hERG,Flag for Interference, hERG,Final Compound Concentration, CYP1A2 [µM],Avg % Inhibition, CYP1A2,STD % Inhibition, CYP1A2,Final Compound Concentration, CYP2C9 [µM],Avg % Inhibition, CYP2C9,STD % Inhibition, CYP2C9,Final Compound Concentration, CYP2C19 [µM],Avg % Inhibition, CYP2C19,STD % Inhibition, CYP2C19,Final Compound Concentration, CYP2D6 [µM],Avg % Inhibition, CYP2D6,STD % Inhibition, CYP2D6,Final Compound Concentration, CYP3A4 [µM],Avg % Inhibition, CYP3A4,STD % Inhibition, CYP3A4,Final Compound Concentration, A549 [µM],Avg % Cell Growth, A549*,STD % Cell Growth, A549,Final Compound Concentration, W1-38 [µM],Avg % Cell Growth, W1-38*,STD % Cell Growth, W1-38,Final Compound Concentration, Mitochondria [µM],Avg % Toxicity Mitochondria**,STD % Toxicity, Mitochondria,,
NMT-H0044,50,1.32,0.97,No,50,6.32,0.90,No,10,10.76,13.79,No,10,85.97,1.30,10,6.00,1.53,10,28.04,4.09,10,22.04,4.44,10,0.89,9.36,10,97.14,4.94,10,115.59,12.94,10,-0.46,11.32,,
NMT-H0045,50,-1.70,0.99,Yes,50,-2.77,1.80,Yes,10,-7.06,4.44,No,10,41.66,2.74,10,36.88,1.45,10,61.12,5.81,10,11.68,1.78,10,15.30,6.04,10,103.82,2.21,10,102.75,22.14,10,14.59,11.62,,
NMT-H0046,50,3.57,0.78,No,50,4.22,0.68,No,10,-3.37,2.94,No,10,103.31,0.45,10,46.27,1.69,10,68.65,2.62,10,23.43,1.80,10,-0.65,5.00,10,102.14,3.82,10,112.40,24.32,10,-1.60,17.11,,
NMT-H0048,50,-2.72,1.31,Yes,50,-2.53,1.46,Yes,10,18.83,31.55,No,10,52.84,5.02,10,-25.55,2.44,10,74.87,1.11,10,17.11,1.64,10,11.80,2.36,10,92.05,5.08,10,48.18,11.81,10,0.04,8.07,,
NMT-H0049,50,3.87,2.13,Yes,50,4.61,0.15,Yes,10,58.68,8.58,Yes,10,74.52,3.38,10,20.42,1.68,10,60.05,4.20,10,35.80,3.78,10,10.69,7.48,10,98.48,6.40,10,97.86,17.14,10,18.68,15.52,,
NMT-H0050,50,10.84,1.26,No,50,2.95,1.51,No,10,7.83,10.22,No,10,67.20,5.94,10,8.63,16.26,10,2.44,4.85,10,19.09,3.30,10,20.74,9.52,10,78.52,6.84,10,81.54,31.84,10,-3.52,14.58,,
NMT-H0051,50,-9.38,0.59,No,50,-6.84,0.79,No,10,6.55,12.35,No,10,94.79,1.15,10,29.22,1.35,10,20.90,11.11,10,30.63,1.82,10,4.51,5.55,10,98.85,12.39,10,98.54,17.96,10,-5.29,17.77,,
NMT-H0052,50,7.76,1.09,No,50,43.92,0.33,No,10,6.43,7.90,No,10,96.68,0.53,10,47.58,3.52,10,73.15,6.86,10,36.20,1.98,10,7.49,5.16,10,103.85,1.60,10,111.85,7.53,10,4.30,1.05,,
NMT-H0053,50,10.58,1.08,No,50,25.63,0.75,No,10,18.67,10.88,No,10,93.54,0.45,10,83.65,0.79,10,65.41,2.38,10,28.38,3.15,10,14.06,1.57,10,107.67,4.45,10,105.31,14.04,10,-1.18,2.64,,
NMT-H0054,50,1.27,0.66,Yes,50,-0.09,0.23,Yes,10,4.17,14.52,No,10,45.59,1.83,10,-18.91,3.89,10,29.60,0.79,10,23.57,1.51,10,-5.76,7.16,10,97.04,4.04,10,83.75,24.33,10,2.22,4.11,,
NMT-H0055,50,-8.05,1.56,No,50,37.83,8.23,No,10,16.05,7.01,No,10,96.11,0.62,10,40.11,2.15,10,35.24,5.46,10,40.13,3.10,10,17.58,5.32,10,93.81,1.04,10,78.90,5.17,10,4.24,5.22,,
NMT-H0056,50,-14.12,0.48,No,50,-11.63,2.00,No,10,5.93,12.02,No,10,103.01,0.26,10,59.60,2.25,10,77.93,1.00,10,33.57,5.82,10,12.50,2.34,10,80.86,8.93,10,77.10,14.76,10,0.01,1.50,,
NMT-H0057,50,44.41,1.17,No,50,32.57,0.17,No,10,8.75,12.14,No,10,93.16,0.11,10,37.73,1.31,10,15.95,6.97,10,24.31,2.97,10,7.20,2.25,10,124.88,5.49,10,147.35,4.74,10,1.57,21.39,,
NMT-H0059,50,1.70,1.36,Yes,50,0.11,1.02,Yes,10,9.31,14.75,No,10,61.04,2.70,10,28.15,0.88,10,35.46,4.78,10,48.43,4.27,10,17.12,4.51,10,100.17,6.87,10,115.95,10.55,10,10.42,10.85,,
NMT-H0061,50,6.20,1.11,No,50,8.28,0.24,No,10,5.70,12.93,No,10,76.88,1.39,10,-25.55,2.26,10,54.93,10.59,10,19.33,5.22,10,7.39,1.66,10,83.60,4.35,10,85.67,33.73,10,30.60,26.57,,
NMT-LA0001,50,12.59,0.47,No,50,25.19,1.41,No,10,83.70,2.46,No,10,100.76,1.45,10,24.08,0.42,10,65.13,6.80,10,48.21,2.26,10,59.54,3.72,10,115.42,5.25,10,87.23,13.83,10,-0.04,10.48,,
NMT-LA0009,50,1.27,0.66,No,50,4.02,0.41,No,10,27.94,5.19,No,10,97.80,1.00,10,28.66,2.24,10,34.30,3.75,10,27.04,2.36,10,28.16,5.02,10,115.54,8.34,10,130.22,14.11,10,-2.59,13.72,,
NMT-LA0019,50,2.11,0.72,No,50,5.34,0.86,No,10,6.43,1.93,No,10,20.92,3.30,10,36.62,0.61,10,9.39,6.47,10,18.50,2.67,10,15.05,9.87,10,108.73,0.45,10,118.35,24.82,10,11.63,10.10,,
NMT-S0001,50,80.40,3.94,No,50,-2.29,0.52,No,10,-15.92,11.19,Yes,10,10.83,2.49,10,89.19,1.28,10,-5.89,3.20,10,19.05,1.85,10,1.66,10.21,10,108.50,8.36,10,105.01,11.41,10,5.98,8.92,,
NMT-S0002,50,-0.46,0.26,No,50,-0.53,0.35,No,10,6.49,4.98,No,10,14.36,3.78,10,15.87,1.93,10,-14.52,5.41,10,63.88,0.58,10,-23.14,11.15,10,32.51,1.98,10,7.25,21.41,10,-0.40,5.78,,
NMT-S0003,50,1.04,0.72,No,50,0.60,0.05,No,10,13.73,3.46,No,10,15.58,3.34,10,59.74,0.87,10,-14.02,2.53,10,86.78,2.18,10,20.66,6.53,10,35.90,2.28,10,10.27,23.26,10,-5.87,18.47,,
NMT-S0004,50,46.87,69.07,No,50,27.42,23.06,No,10,-32.57,7.65,Yes,10,22.09,3.01,10,18.45,2.04,10,-17.42,3.24,10,14.37,1.12,10,-6.81,7.10,10,97.68,10.16,10,59.65,11.22,10,6.42,6.19,,
NMT-S0005,50,-1.70,0.48,No,50,0.79,0.99,No,10,32.71,5.33,No,10,91.71,2.79,10,62.46,0.78,10,99.47,2.15,10,61.10,1.28,10,46.75,5.96,10,37.10,11.38,10,41.14,24.27,10,43.75,22.84,,
NMT-S0006,50,10.01,0.70,No,50,23.13,1.27,No,10,-0.03,13.26,No,10,5.39,5.28,10,3.80,3.26,10,-30.55,13.86,10,17.78,4.32,10,8.30,5.52,10,101.41,7.63,10,13.13,29.41,10,58.02,33.30,,
